char,male,female
穗,12225,34591
项,12213,4662
质,12209,2668
铿,12169,849
沃,12156,521
淏,12151,1254
仟,12124,10952
霁,12033,14417
瑄,12015,32606
乘,11959,2344
箭,11935,1391
励,11828,10377
草,11736,41840
样,11734,15887
钜,11724,268
苇,11631,21787
荷,11624,406350
懋,11551,1893
单,11494,49266
卡,11488,9827
祁,11414,3560
洵,11398,5890
叔,11369,58991
载,11221,1193
报,11204,860
瀛,11161,9305
带,11112,110552
郡,11105,14150
纳,11073,51184
鋆,11056,6130
恕,10896,2038
慰,10878,7226
逵,10842,209
回,10836,23360
右,10785,3265
空,10745,857
崎,10736,3942
藩,10688,1178
罕,10623,11715
擎,10618,5185
芷,10591,164768
槟,10546,1806
炉,10541,943
女,10515,1047638
暖,10506,40028
滋,10472,7815
次,10451,6529
珅,10357,3432
樊,10348,6640
论,10337,5264
璨,10272,22151
崧,10206,4618
虾,10206,19874
弋,10196,7543
皖,10039,17858
采,10037,66793
净,9960,55842
淘,9947,2827
围,9947,7488
妃,9840,129956
铧,9817,5095
弦,9750,11194
朵,9736,140501
亲,9706,28769
爵,9676,487
昔,9675,5916
劭,9659,1876
镔,9625,895
曹,9625,2641
汀,9615,7508
祉,9613,13669
证,9596,568
演,9489,5239
宴,9486,8182
泷,9465,1357
执,9430,5032
甘,9364,5995
件,9344,838
表,9342,1904
适,9256,2508
迈,9238,5421
冕,9212,4935
异,9152,5990
镭,9023,2017
钒,8937,4228
浓,8925,33787
伸,8863,1045
各,8858,17353
与,8835,4832
移,8834,2750
琮,8743,2530
屏,8728,65019
闰,8715,6615
韧,8680,2626
气,8667,2041
赋,8663,616
牙,8611,2828
漫,8592,112009
瓦,8551,2469
封,8481,938
璠,8466,22648
芽,8391,27694
谱,8369,1140
尼,8318,14859
沿,8317,4956
问,8314,7163
聿,8288,2914
机,8235,3885
阶,8143,580
约,8139,4939
筠,8126,48572
荃,8124,9345
谕,8112,8116
塔,8027,4691
崴,8024,3271
捍,7995,608
讯,7969,2370
倬,7967,3586
艇,7957,567
殷,7900,9587
颉,7897,5134
盾,7884,729
总,7843,1104
落,7805,7488
蒲,7797,15516
葆,7780,5287
务,7756,3834
泗,7752,2964
肃,7741,4278
祈,7732,2608
托,7692,4017
尽,7631,3943
莫,7614,12969
茁,7591,5151
共,7574,1596
镕,7566,4032
极,7563,1070
锌,7487,4117
卢,7460,3805
蒋,7451,1741
外,7406,8798
畏,7389,2117
弈,7349,4717
厅,7333,2294
筑,7273,1953
慷,7264,405
称,7219,6199
迟,7189,3961
粉,7186,669340
颐,7166,14997
第,7136,2118
睦,7130,1610
坛,7113,3168
枚,7084,220404
忻,7024,16596
蓓,7003,205658
蜀,7002,6380
俐,6941,131708
芯,6926,97368
者,6921,10853
庸,6905,900
简,6897,6553
琅,6875,4055
舸,6858,2161
葛,6821,2400
热,6814,6305
详,6798,585
充,6774,1195
铂,6765,1161
恋,6760,89780
倚,6730,11093
侯,6718,2239
懂,6705,938
薛,6698,8381
佟,6687,4172
身,6672,532
市,6670,1415
钲,6658,514
货,6647,416
俏,6625,68416
趁,6586,28576
谭,6584,2412
提,6580,11957
溥,6570,617
拾,6534,6365
郅,6518,639
鹭,6504,21938
择,6504,950
事,6503,532
绅,6497,320
柠,6486,12752
薇,6435,634983
车,6405,7427
兔,6382,4694
葳,6380,10625
壬,6379,6864
箫,6367,8622
弢,6360,967
晰,6309,11339
稼,6308,1123
怿,6300,5557
橙,6286,6991
晃,6284,1488
悠,6278,18761
雕,6274,1147
惊,6268,2034
赣,6266,987
惜,6226,102769
盖,6191,810
度,6188,1751
滢,6139,129220
候,6133,2033
沫,6131,10721
鳌,6121,128
穆,6117,4666
门,6110,5176
鹿,6099,5216
圻,6096,3506
镐,6056,145
弼,6039,391
绮,6035,143328
已,5918,4244
酉,5915,1602
瞳,5896,9407
边,5893,3025
饶,5891,3915
阅,5889,7070
龚,5863,1428
梧,5862,1913
迦,5844,3493
俣,5812,4161
针,5805,37799
瞻,5785,1907
锰,5784,412
忙,5753,16865
尾,5740,18486
佶,5730,2026
凝,5625,52769
域,5596,1432
拯,5533,268
笠,5531,1540
的,5522,18104
绩,5503,863
珣,5503,8575
涯,5493,2911
湃,5461,1110
馥,5441,29443
藤,5402,7536
场,5377,159
赤,5377,6294
汛,5367,1977
包,5347,1998
铉,5341,894
式,5330,755
桔,5310,23075
识,5288,1380
绘,5278,32087
归,5270,2770
比,5245,3339
储,5238,1190
赓,5236,169
寨,5232,686
驿,5220,2494
壁,5184,2918
戎,5184,4216
屯,5184,273
倪,5174,13358
梨,5140,65160
潞,5139,18500
芊,5138,55583
班,5120,2273
愈,5110,2256
粟,5075,3729
兢,5065,3466
涤,5052,2663
匡,5023,417
纹,4966,17359
吟,4954,62720
梵,4942,4257
技,4936,640
裔,4883,1536
造,4879,295
炅,4832,1051
宠,4788,2097
查,4782,4995
藏,4772,13635
尖,4748,4152
笙,4748,1244
御,4731,4862
钗,4718,101717
荆,4708,6728
受,4697,1528
舫,4693,9005
署,4625,676
樵,4623,751
烟,4619,38444
舞,4614,7337
寻,4610,4838
卉,4582,149573
柔,4576,122193
遇,4568,3027
欠,4511,48122
偲,4509,11687
稀,4502,6332
邱,4484,3725
反,4483,1053
洞,4437,794
